#source,target
57_5,57_7
57_0,57_7
57_3,57_2
57_1,57_2
57_2,57_0
57_2,57_6
57_5,57_6
57_1,57_5
57_0,57_6
57_3,57_1
57_3,57_0
57_1,57_0
58_1,58_9
58_13,58_15
58_9,58_13
58_1,58_13
58_3,58_7
58_15,58_6
58_4,58_15
58_0,58_8
58_15,58_14
58_4,58_18
58_3,58_14
58_0,58_9
58_0,58_11
58_7,58_14
58_7,58_10
58_9,58_6
58_15,58_11
58_5,58_10
58_1,58_5
58_9,58_14
58_14,58_17
58_7,58_8
58_10,58_16
58_12,58_17
58_0,58_3
58_0,58_2
58_9,58_11
58_7,58_16
58_5,58_18
58_2,58_12
58_6,58_17
58_5,58_16
58_12,58_16
58_1,58_4
58_0,58_7
58_15,58_8
58_2,58_5
58_2,58_3
58_15,58_17
58_8,58_18
58_0,58_1
58_8,58_17
58_10,58_14
58_5,58_17
58_4,58_12
58_9,58_16
58_7,58_12
58_2,58_9
58_10,58_6
58_2,58_7
58_15,58_16
58_8,58_12
58_12,58_15
58_10,58_12
58_12,58_13
58_15,58_18
58_3,58_10
58_17,58_18
58_2,58_11
58_7,58_13
58_1,58_16
58_4,58_13
58_16,58_13
58_1,58_6
58_11,58_15
58_5,58_12
58_1,58_14
58_1,58_10
58_5,58_14
58_1,58_12
58_11,58_6
58_5,58_6
58_6,58_13
58_11,58_12
58_3,58_5
58_13,58_14
58_0,58_18
58_10,58_17
58_16,58_9
58_3,58_13
58_6,58_14
58_5,58_13
58_1,58_15
58_13,58_9
58_3,58_15
58_16,58_18
58_11,58_16
58_3,58_18
58_15,58_12
58_7,58_9
58_14,58_15
58_8,58_9
58_5,58_9
58_4,58_17
58_16,58_17
58_11,58_13
58_9,58_12
58_4,58_7
58_0,58_10
58_0,58_17
58_14,58_9
58_3,58_11
58_1,58_18
58_14,58_18
58_10,58_13
58_13,58_16
58_3,58_17
58_0,58_12
58_16,58_15
58_5,58_8
58_6,58_11
58_2,58_16
58_8,58_16
58_5,58_7
58_0,58_6
58_11,58_14
58_2,58_6
58_11,58_18
58_4,58_11
58_2,58_14
58_16,58_11
58_13,58_6
58_14,58_16
58_6,58_12
58_4,58_16
58_16,58_14
58_0,58_13
58_4,58_6
58_8,58_11
58_6,58_16
58_10,58_18
58_5,58_15
58_3,58_8
58_11,58_9
58_2,58_17
58_3,58_4
58_6,58_10
58_9,58_15
58_14,58_6
58_6,58_15
58_3,58_12
58_13,58_17
58_12,58_9
58_4,58_10
58_3,58_16
58_9,58_18
58_15,58_7
58_3,58_6
58_7,58_6
58_12,58_18
58_0,58_15
58_8,58_6
58_15,58_10
58_8,58_10
58_5,58_11
58_4,58_9
58_11,58_17
58_2,58_10
58_7,58_11
58_6,58_9
58_9,58_10
58_2,58_18
58_7,58_18
58_10,58_11
58_6,58_18
58_2,58_4
58_0,58_4
58_4,58_8
58_8,58_14
58_0,58_14
58_1,58_17
58_13,58_18
58_4,58_5
58_3,58_9
58_15,58_9
58_0,58_16
58_16,58_12
58_1,58_2
58_1,58_3
58_1,58_11
58_16,58_6
58_2,58_8
58_4,58_14
58_10,58_15
58_0,58_5
58_15,58_13
58_2,58_15
58_9,58_17
58_10,58_9
58_7,58_17
58_12,58_6
58_8,58_13
58_2,58_13
58_16,58_10
58_12,58_14
59_3,59_1
59_1,59_2
59_0,59_2
59_2,59_3
59_1,59_3
59_0,59_3
59_2,59_1
59_0,59_1
60_2,60_4
60_0,60_3
60_5,60_4
60_5,60_1
60_3,60_1
60_3,60_4
60_1,60_4
60_5,60_3
60_0,60_4
60_4,60_1
60_0,60_1
60_2,60_1
60_5,60_2
60_5,60_0
61_0,61_4
61_0,61_5
61_0,61_2
61_3,61_4
61_2,61_1
61_2,61_5
61_4,61_5
61_0,61_6
61_4,61_6
61_0,61_1
61_1,61_3
61_2,61_3
61_1,61_6
61_3,61_2
61_3,61_5
61_1,61_5
61_1,61_4
61_2,61_6
61_4,61_2
61_2,61_4
61_5,61_6
61_4,61_3
61_0,61_3
61_3,61_6
61_4,61_0
62_0,62_4
62_3,62_4
62_0,62_5
62_3,62_1
62_3,62_2
62_3,62_0
62_1,62_5
62_1,62_4
62_1,62_3
62_4,62_5
62_1,62_2
62_2,62_5
62_1,62_0
62_3,62_5
63_1,63_2
63_3,63_4
63_0,63_4
63_0,63_3
63_1,63_4
63_1,63_3
63_0,63_1
63_2,63_3
63_2,63_4
63_0,63_2
64_1,64_3
64_3,64_4
64_1,64_5
64_7,64_2
64_0,64_7
64_0,64_6
64_3,64_5
64_4,64_5
64_3,64_7
64_5,64_2
64_0,64_2
64_3,64_2
64_2,64_3
64_7,64_5
64_0,64_4
64_4,64_7
64_7,64_3
64_0,64_3
64_1,64_7
64_5,64_6
64_5,64_7
64_2,64_4
64_5,64_1
64_3,64_6
64_0,64_5
64_3,64_1
64_2,64_5
64_2,64_7
64_0,64_1
64_1,64_2
65_0,65_3
65_0,65_1
65_2,65_3
65_0,65_2
65_1,65_2
65_1,65_3
66_1,66_3
66_0,66_2
66_1,66_0
66_0,66_3
66_2,66_3
66_1,66_2
67_0,67_1
67_1,67_2
67_3,67_2
67_0,67_2
67_1,67_3
67_0,67_3
68_10,68_3
68_0,68_1
68_8,68_10
68_5,68_6
68_4,68_5
68_1,68_9
68_4,68_7
68_1,68_10
68_1,68_8
68_8,68_4
68_0,68_3
68_0,68_8
68_1,68_6
68_1,68_3
68_6,68_7
68_9,68_3
68_0,68_9
68_3,68_7
68_3,68_4
68_4,68_8
68_0,68_10
68_3,68_8
68_5,68_8
68_2,68_7
68_7,68_8
68_0,68_6
68_0,68_2
68_1,68_2
68_4,68_10
68_6,68_10
68_3,68_6
68_3,68_10
68_1,68_5
68_8,68_3
68_3,68_2
68_0,68_5
68_2,68_4
68_7,68_10
68_2,68_8
68_9,68_4
68_5,68_7
68_2,68_10
68_6,68_9
68_2,68_9
68_2,68_6
68_4,68_6
68_4,68_9
68_6,68_8
68_3,68_9
68_5,68_9
68_9,68_10
68_7,68_9
68_2,68_3
68_2,68_5
68_10,68_9
68_10,68_4
68_1,68_7
68_0,68_7
68_10,68_8
68_0,68_4
68_8,68_9
68_1,68_4
69_0,69_1
69_1,69_3
69_0,69_3
69_0,69_2
69_1,69_2
69_2,69_3
70_0,70_5
70_3,70_0
70_3,70_1
70_3,70_5
70_2,70_5
70_4,70_5
70_2,70_4
70_3,70_2
70_5,70_3
70_1,70_0
70_0,70_2
70_1,70_2
70_1,70_5
70_4,70_3
70_2,70_3
70_5,70_2
71_2,71_4
71_9,71_3
71_10,71_4
71_0,71_4
71_7,71_5
71_2,71_10
71_4,71_9
71_7,71_3
71_6,71_9
71_8,71_5
71_4,71_5
71_1,71_8
71_4,71_10
71_3,71_9
71_6,71_5
71_6,71_10
71_0,71_8
71_0,71_2
71_3,71_10
71_2,71_8
71_2,71_3
71_3,71_6
71_9,71_5
71_3,71_7
71_2,71_5
71_0,71_3
71_8,71_3
71_8,71_9
71_6,71_7
71_8,71_10
71_4,71_7
71_1,71_2
71_2,71_6
71_4,71_8
71_6,71_8
71_0,71_5
71_1,71_5
71_7,71_8
71_9,71_10
71_3,71_4
71_1,71_6
71_7,71_10
71_2,71_9
71_4,71_3
71_10,71_9
71_6,71_3
71_10,71_8
71_0,71_7
71_7,71_9
71_10,71_3
71_2,71_7
71_0,71_6
71_1,71_7
71_10,71_6
71_10,71_7
71_1,71_9
71_4,71_6
71_0,71_10
71_0,71_1
71_3,71_5
71_3,71_8
71_0,71_9
72_3,72_4
72_2,72_3
72_0,72_4
72_2,72_4
72_5,72_3
72_1,72_3
72_2,72_5
72_2,72_1
72_5,72_0
72_2,72_0
72_0,72_5
72_0,72_3
72_5,72_4
72_1,72_4
72_1,72_0
72_3,72_0
72_1,72_2
72_5,72_1
72_0,72_1
72_1,72_5
72_3,72_1
72_3,72_5
72_0,72_2
72_4,72_5
73_0,73_2
73_0,73_1
73_2,73_1
74_1,74_2
74_0,74_1
74_0,74_2
75_4,75_2
75_1,75_3
75_0,75_2
75_0,75_4
75_4,75_3
75_3,75_2
75_1,75_4
75_1,75_2
75_0,75_3
75_3,75_4
75_1,75_0
76_2,76_0
76_2,76_3
76_0,76_3
76_2,76_1
76_1,76_0
76_1,76_3
77_4,77_2
77_3,77_1
77_4,77_1
77_4,77_0
77_4,77_3
77_2,77_0
77_0,77_2
77_0,77_1
77_2,77_1
77_1,77_0
77_0,77_4
77_3,77_0
77_2,77_4
77_1,77_4
77_2,77_3
78_0,78_6
78_5,78_6
78_2,78_4
78_6,78_9
78_0,78_4
78_2,78_7
78_4,78_5
78_2,78_9
78_1,78_7
78_7,78_8
78_2,78_6
78_1,78_2
78_1,78_6
78_1,78_3
78_8,78_9
78_3,78_8
78_4,78_6
78_3,78_4
78_4,78_7
78_6,78_8
78_3,78_9
78_2,78_5
78_0,78_9
78_7,78_9
78_5,78_8
78_3,78_5
78_2,78_3
78_0,78_3
78_0,78_7
78_5,78_9
78_2,78_8
78_0,78_5
78_0,78_1
78_0,78_2
78_1,78_9
78_3,78_7
78_3,78_6
78_0,78_8
78_4,78_9
78_5,78_7
78_4,78_8
78_6,78_7
79_0,79_8
79_7,79_11
79_0,79_10
79_3,79_5
79_5,79_10
79_3,79_11
79_2,79_14
79_7,79_0
79_0,79_9
79_3,79_7
79_3,79_6
79_2,79_10
79_2,79_8
79_11,79_13
79_5,79_12
79_6,79_9
79_7,79_6
79_14,79_12
79_2,79_15
79_2,79_5
79_2,79_4
79_7,79_16
79_1,79_4
79_2,79_7
79_1,79_9
79_5,79_0
79_6,79_0
79_6,79_10
79_4,79_0
79_10,79_13
79_9,79_13
79_3,79_15
79_2,79_6
79_8,79_12
79_4,79_11
79_7,79_2
79_6,79_16
79_1,79_13
79_9,79_11
79_7,79_4
79_5,79_8
79_15,79_12
79_7,79_5
79_3,79_9
79_8,79_11
79_3,79_0
79_0,79_11
79_10,79_14
79_5,79_9
79_2,79_3
79_4,79_16
79_5,79_11
79_4,79_15
79_4,79_6
79_11,79_16
79_2,79_11
79_3,79_16
79_5,79_6
79_1,79_12
79_5,79_13
79_0,79_6
79_0,79_13
79_8,79_14
79_6,79_13
79_16,79_13
79_5,79_15
79_7,79_3
79_0,79_16
79_16,79_15
79_9,79_12
79_5,79_16
79_3,79_10
79_3,79_8
79_1,79_11
79_7,79_12
79_0,79_15
79_9,79_15
79_2,79_12
79_3,79_13
79_16,79_14
79_1,79_15
79_6,79_8
79_4,79_10
79_7,79_13
79_4,79_13
79_9,79_10
79_0,79_4
79_6,79_14
79_5,79_14
79_4,79_5
79_10,79_15
79_7,79_1
79_9,79_14
79_6,79_7
79_4,79_7
79_1,79_5
79_2,79_9
79_1,79_14
79_8,79_16
79_6,79_15
79_0,79_14
79_10,79_16
79_1,79_2
79_3,79_14
79_7,79_8
79_1,79_7
79_14,79_15
79_7,79_10
79_10,79_11
79_4,79_14
79_1,79_10
79_4,79_9
79_4,79_12
79_1,79_8
79_2,79_0
79_7,79_9
79_13,79_15
79_0,79_3
79_3,79_12
79_1,79_16
79_3,79_4
79_4,79_8
79_2,79_16
79_13,79_12
79_10,79_12
79_11,79_15
79_8,79_9
79_13,79_14
79_0,79_12
79_7,79_15
79_6,79_11
79_9,79_16
79_2,79_13
79_6,79_12
79_1,79_0
79_16,79_12
79_0,79_1
79_0,79_7
79_1,79_6
79_0,79_2
79_8,79_13
79_8,79_15
79_0,79_5
79_1,79_3
79_11,79_14
79_7,79_14
79_11,79_12
79_8,79_10
79_5,79_7
80_0,80_2
80_0,80_1
80_2,80_1
81_1,81_3
81_3,81_2
81_0,81_2
81_1,81_2
81_0,81_1
81_0,81_3
82_0,82_7
82_3,82_8
82_7,82_8
82_0,82_8
82_5,82_0
82_6,82_0
82_1,82_0
82_1,82_5
82_3,82_4
82_4,82_7
82_0,82_3
82_3,82_0
82_5,82_7
82_1,82_7
82_6,82_8
82_3,82_6
82_1,82_8
82_5,82_8
82_1,82_6
82_2,82_6
82_3,82_7
82_1,82_2
82_3,82_5
82_1,82_4
82_4,82_6
82_2,82_5
82_7,82_0
82_2,82_3
82_2,82_7
82_1,82_3
82_5,82_6
82_6,82_7
82_0,82_2
82_4,82_5
82_2,82_8
82_0,82_1
82_4,82_0
82_0,82_5
82_0,82_6
83_0,83_3
83_2,83_3
83_3,83_2
83_1,83_2
83_0,83_1
83_0,83_2
83_1,83_3
84_2,84_7
84_1,84_12
84_1,84_5
84_8,84_10
84_5,84_11
84_3,84_5
84_2,84_8
84_3,84_10
84_3,84_7
84_7,84_10
84_3,84_8
84_1,84_7
84_2,84_5
84_2,84_11
84_9,84_12
84_13,84_12
84_5,84_12
84_9,84_10
84_10,84_11
84_0,84_9
84_7,84_12
84_2,84_12
84_5,84_10
84_5,84_6
84_6,84_11
84_8,84_12
84_1,84_6
84_4,84_7
84_4,84_10
84_3,84_6
84_1,84_3
84_13,84_8
84_2,84_9
84_2,84_4
84_2,84_3
84_6,84_9
84_7,84_8
84_5,84_9
84_1,84_2
84_1,84_10
84_4,84_8
84_0,84_5
84_4,84_6
84_0,84_8
84_6,84_7
84_13,84_10
84_0,84_7
84_0,84_10
84_4,84_11
84_6,84_10
84_13,84_11
84_0,84_13
84_5,84_7
84_7,84_9
84_6,84_8
84_13,84_9
84_8,84_11
84_4,84_12
84_4,84_9
84_1,84_11
84_6,84_12
84_9,84_11
84_5,84_8
84_1,84_9
84_8,84_9
84_1,84_4
84_10,84_12
84_0,84_11
84_3,84_4
84_4,84_5
84_13,84_6
84_13,84_7
84_3,84_11
84_7,84_11
84_11,84_12
84_0,84_12
84_0,84_6
84_3,84_9
84_2,84_10
84_3,84_12
84_2,84_6
84_13,84_5
84_1,84_8
85_1,85_3
85_1,85_2
85_0,85_1
85_2,85_3
85_0,85_2
85_0,85_3
86_1,86_2
86_2,86_1
86_0,86_4
86_2,86_4
86_3,86_2
86_4,86_1
86_0,86_2
86_1,86_3
86_0,86_1
86_2,86_3
86_1,86_4
86_3,86_4
86_0,86_3
86_4,86_3
86_3,86_1
87_0,87_2
87_0,87_1
87_1,87_2
87_2,87_3
87_0,87_3
87_1,87_3
88_0,88_1
88_0,88_3
88_1,88_2
88_2,88_3
88_0,88_2
88_1,88_3
89_9,89_3
89_2,89_5
89_9,89_6
89_2,89_11
89_0,89_13
89_2,89_9
89_7,89_10
89_8,89_12
89_5,89_11
89_3,89_4
89_1,89_12
89_4,89_12
89_2,89_7
89_5,89_8
89_6,89_7
89_4,89_6
89_5,89_14
89_2,89_3
89_4,89_11
89_9,89_14
89_4,89_2
89_4,89_9
89_5,89_7
89_9,89_8
89_9,89_2
89_8,89_9
89_10,89_13
89_12,89_14
89_2,89_12
89_6,89_8
89_1,89_7
89_6,89_13
89_3,89_2
89_1,89_14
89_8,89_2
89_1,89_8
89_7,89_14
89_0,89_9
89_1,89_3
89_4,89_10
89_4,89_5
89_13,89_14
89_4,89_14
89_2,89_14
89_2,89_6
89_2,89_8
89_0,89_4
89_4,89_7
89_9,89_4
89_9,89_12
89_5,89_12
89_10,89_11
89_1,89_10
89_8,89_14
89_12,89_13
89_1,89_6
89_8,89_3
89_5,89_10
89_3,89_7
89_3,89_6
89_0,89_10
89_9,89_5
89_0,89_6
89_7,89_12
89_7,89_3
89_2,89_10
89_0,89_14
89_10,89_12
89_7,89_9
89_2,89_4
89_6,89_2
89_6,89_12
89_5,89_6
89_7,89_2
89_9,89_13
89_5,89_13
89_1,89_4
89_7,89_11
89_3,89_10
89_10,89_14
89_11,89_13
89_3,89_14
89_0,89_5
89_9,89_10
89_3,89_12
89_1,89_13
89_0,89_3
89_0,89_7
89_5,89_3
89_7,89_13
89_8,89_11
89_6,89_3
89_8,89_10
89_3,89_11
89_0,89_12
89_0,89_2
89_2,89_13
89_11,89_12
89_4,89_3
89_4,89_13
89_6,89_10
89_9,89_11
89_4,89_8
89_7,89_8
89_5,89_9
89_0,89_11
89_6,89_14
89_6,89_11
89_1,89_2
89_6,89_9
89_9,89_7
89_0,89_1
89_5,89_2
89_1,89_11
89_8,89_13
89_1,89_9
89_11,89_14
89_0,89_8
89_3,89_13
89_3,89_8
90_0,90_16
90_10,90_13
90_7,90_1
90_3,90_12
90_1,90_8
90_13,90_9
90_8,90_15
90_8,90_9
90_7,90_10
90_13,90_14
90_2,90_9
90_3,90_10
90_1,90_9
90_0,90_15
90_9,90_14
90_12,90_15
90_0,90_2
90_9,90_16
90_0,90_6
90_1,90_7
90_17,90_15
90_1,90_14
90_8,90_16
90_15,90_11
90_5,90_10
90_1,90_12
90_2,90_10
90_2,90_11
90_2,90_7
90_10,90_12
90_3,90_2
90_0,90_9
90_8,90_14
90_8,90_7
90_6,90_8
90_1,90_13
90_7,90_17
90_9,90_11
90_2,90_5
90_0,90_10
90_2,90_8
90_6,90_17
90_2,90_6
90_5,90_3
90_9,90_17
90_4,90_16
90_8,90_10
90_14,90_15
90_14,90_11
90_2,90_16
90_5,90_6
90_3,90_16
90_4,90_14
90_14,90_17
90_4,90_7
90_9,90_7
90_13,90_3
90_5,90_8
90_7,90_11
90_6,90_16
90_5,90_13
90_15,90_16
90_4,90_17
90_6,90_13
90_4,90_9
90_13,90_15
90_1,90_6
90_5,90_16
90_3,90_8
90_4,90_10
90_4,90_6
90_2,90_3
90_9,90_6
90_3,90_13
90_2,90_17
90_7,90_12
90_0,90_13
90_12,90_13
90_1,90_11
90_6,90_3
90_13,90_11
90_5,90_17
90_10,90_11
90_10,90_16
90_3,90_7
90_4,90_11
90_17,90_11
90_12,90_7
90_10,90_14
90_1,90_17
90_2,90_15
90_0,90_3
90_1,90_10
90_13,90_7
90_0,90_17
90_6,90_10
90_10,90_15
90_8,90_13
90_1,90_2
90_13,90_17
90_9,90_4
90_5,90_9
90_14,90_16
90_7,90_6
90_1,90_3
90_6,90_7
90_7,90_15
90_7,90_13
90_4,90_1
90_1,90_16
90_17,90_16
90_12,90_11
90_3,90_9
90_13,90_16
90_7,90_8
90_8,90_17
90_0,90_8
90_9,90_15
90_7,90_14
90_6,90_15
90_4,90_3
90_9,90_12
90_6,90_12
90_7,90_16
90_13,90_8
90_14,90_13
90_6,90_11
90_4,90_2
90_7,90_4
90_13,90_6
90_2,90_4
90_3,90_15
90_4,90_12
90_10,90_17
90_1,90_15
90_6,90_9
90_4,90_15
90_14,90_7
90_12,90_16
90_9,90_1
90_2,90_14
90_3,90_14
90_12,90_14
90_9,90_13
90_7,90_9
90_16,90_11
90_6,90_14
90_10,90_7
90_3,90_11
90_2,90_13
90_7,90_3
90_3,90_17
90_2,90_12
90_12,90_17
90_9,90_10
90_1,90_4
90_13,90_10
91_0,91_3
91_3,91_0
91_0,91_2
91_2,91_3
91_1,91_0
91_2,91_1
91_1,91_3
91_0,91_1
92_0,92_1
92_1,92_2
92_2,92_3
92_1,92_3
92_2,92_4
92_0,92_2
92_1,92_4
92_0,92_3
92_0,92_4
92_3,92_4
93_6,93_8
93_4,93_7
93_7,93_9
93_6,93_9
93_3,93_5
93_5,93_10
93_1,93_6
93_8,93_9
93_9,93_10
93_2,93_10
93_3,93_6
93_6,93_1
93_4,93_5
93_1,93_9
93_2,93_8
93_3,93_7
93_6,93_3
93_9,93_11
93_0,93_7
93_0,93_8
93_6,93_10
93_0,93_9
93_3,93_8
93_4,93_11
93_0,93_3
93_5,93_3
93_5,93_8
93_4,93_9
93_1,93_5
93_0,93_11
93_0,93_10
93_2,93_3
93_4,93_8
93_6,93_7
93_2,93_6
93_6,93_4
93_4,93_6
93_2,93_7
93_7,93_8
93_3,93_1
93_0,93_4
93_3,93_10
93_5,93_4
93_4,93_1
93_0,93_5
93_3,93_4
93_0,93_2
93_5,93_7
93_8,93_11
93_4,93_3
93_1,93_4
93_5,93_6
93_2,93_9
93_0,93_6
93_6,93_11
93_5,93_1
93_2,93_4
93_8,93_10
93_2,93_11
93_5,93_9
93_4,93_10
93_3,93_9
93_0,93_1
93_1,93_10
93_2,93_5
93_1,93_3
94_3,94_1
94_2,94_3
94_2,94_1
94_4,94_3
94_4,94_2
94_3,94_4
94_2,94_0
94_0,94_1
94_0,94_4
94_0,94_3
94_0,94_2
94_4,94_1
94_4,94_0
94_3,94_0
94_2,94_4
95_0,95_1
95_1,95_2
95_0,95_3
95_2,95_4
95_3,95_4
95_0,95_4
95_0,95_2
95_2,95_3
95_1,95_3
95_1,95_4
96_0,96_2
96_0,96_1
96_2,96_1
97_0,97_1
97_1,97_2
97_0,97_3
97_0,97_2
97_1,97_3
97_2,97_3
98_0,98_1
98_0,98_2
98_1,98_2
99_1,99_2
99_0,99_1
99_0,99_2
100_5,100_8
100_0,100_4
100_7,100_9
100_4,100_12
100_7,100_11
100_4,100_11
100_0,100_2
100_1,100_12
100_3,100_10
100_3,100_4
100_8,100_12
100_2,100_3
100_1,100_10
100_3,100_6
100_2,100_7
100_2,100_8
100_7,100_10
100_11,100_13
100_5,100_4
100_0,100_8
100_8,100_13
100_7,100_8
100_1,100_11
100_0,100_1
100_9,100_10
100_5,100_6
100_3,100_13
100_6,100_8
100_2,100_10
100_6,100_11
100_4,100_6
100_11,100_12
100_5,100_7
100_5,100_12
100_2,100_6
100_0,100_9
100_10,100_13
100_5,100_13
100_5,100_10
100_10,100_12
100_9,100_13
100_0,100_5
100_2,100_9
100_6,100_12
100_6,100_13
100_1,100_13
100_2,100_11
100_5,100_11
100_1,100_5
100_6,100_9
100_3,100_5
100_3,100_8
100_0,100_11
100_1,100_9
100_10,100_11
100_4,100_9
100_9,100_11
100_7,100_13
100_0,100_10
100_5,100_9
100_4,100_13
100_12,100_13
100_1,100_3
100_2,100_5
100_2,100_12
100_3,100_12
100_0,100_13
100_8,100_10
100_0,100_12
100_7,100_12
100_0,100_7
100_9,100_12
100_4,100_10
100_3,100_9
100_8,100_11
100_6,100_7
100_4,100_8
100_2,100_13
100_4,100_7
100_6,100_10
100_0,100_6
100_2,100_4
100_0,100_3
100_3,100_11
100_8,100_9
100_1,100_7
100_3,100_7
101_1,101_2
101_2,101_0
101_3,101_0
101_1,101_0
101_3,101_2
101_1,101_3
102_1,102_5
102_5,102_2
102_0,102_2
102_7,102_3
102_4,102_6
102_7,102_2
102_2,102_3
102_1,102_7
102_0,102_1
102_5,102_3
102_5,102_0
102_2,102_0
102_3,102_7
102_2,102_4
102_4,102_7
102_2,102_6
102_2,102_5
102_0,102_6
102_5,102_6
102_1,102_2
102_3,102_0
102_0,102_7
102_5,102_7
102_2,102_7
102_0,102_3
102_4,102_5
102_3,102_5
102_1,102_3
102_7,102_5
102_0,102_4
102_0,102_5
102_6,102_7
102_7,102_0
103_2,103_1
103_0,103_2
103_0,103_1
103_1,103_2
103_3,103_1
103_0,103_3
103_3,103_2
104_0,104_4
104_0,104_2
104_1,104_2
104_4,104_3
104_1,104_4
104_2,104_3
104_0,104_3
104_3,104_4
104_0,104_1
104_1,104_3
104_2,104_4
105_6,105_1
105_2,105_5
105_2,105_3
105_1,105_2
105_1,105_3
105_3,105_1
105_5,105_6
105_5,105_2
105_3,105_2
105_0,105_4
105_0,105_2
105_0,105_6
105_3,105_0
105_3,105_4
105_4,105_5
105_1,105_5
105_1,105_4
105_1,105_6
105_0,105_1
105_2,105_6
105_2,105_4
105_4,105_2
105_6,105_4
105_0,105_5
105_0,105_3
105_6,105_2
105_3,105_6
105_3,105_5
105_4,105_6
106_0,106_2
106_1,106_2
106_0,106_1
107_1,107_6
107_0,107_4
107_1,107_5
107_7,107_5
107_6,107_7
107_2,107_5
107_0,107_5
107_1,107_4
107_6,107_0
107_3,107_4
107_0,107_3
107_3,107_6
107_2,107_4
107_6,107_1
107_3,107_5
107_4,107_7
107_4,107_6
107_0,107_6
107_2,107_3
107_5,107_7
107_1,107_7
107_5,107_6
107_3,107_7
107_1,107_2
107_0,107_2
107_6,107_5
107_2,107_7
107_0,107_7
107_1,107_0
107_0,107_1
107_4,107_5
107_2,107_6
107_1,107_3
108_3,108_5
108_0,108_3
108_1,108_4
108_5,108_1
108_2,108_3
108_0,108_5
108_2,108_1
108_0,108_4
108_2,108_4
108_2,108_5
108_0,108_1
108_1,108_2
108_5,108_2
108_3,108_4
108_0,108_2
108_4,108_5
108_1,108_3
108_1,108_5
109_0,109_1
109_1,109_2
109_0,109_2
110_3,110_10
110_0,110_7
110_5,110_8
110_1,110_8
110_4,110_7
110_0,110_6
110_10,110_8
110_6,110_9
110_0,110_3
110_3,110_8
110_2,110_10
110_5,110_6
110_1,110_9
110_2,110_8
110_9,110_7
110_1,110_7
110_1,110_10
110_2,110_9
110_1,110_2
110_3,110_9
110_0,110_2
110_8,110_1
110_8,110_10
110_8,110_9
110_2,110_3
110_7,110_9
110_3,110_6
110_0,110_5
110_4,110_9
110_6,110_10
110_0,110_8
110_9,110_1
110_1,110_6
110_0,110_4
110_3,110_5
110_9,110_10
110_0,110_9
110_7,110_8
110_1,110_3
110_5,110_10
110_10,110_9
110_4,110_8
110_0,110_1
110_6,110_8
110_5,110_9
110_0,110_10
110_1,110_5
110_1,110_4
110_10,110_1
111_3,111_2
111_0,111_1
111_0,111_2
111_1,111_2
111_0,111_3
111_1,111_3
112_0,112_1
112_0,112_2
112_1,112_2
113_2,113_6
113_0,113_4
113_4,113_6
113_3,113_6
113_5,113_6
113_4,113_5
113_2,113_3
113_3,113_5
113_0,113_3
113_2,113_7
113_5,113_7
113_2,113_0
113_0,113_6
113_4,113_7
113_0,113_7
113_1,113_0
113_2,113_5
113_5,113_3
113_3,113_7
113_5,113_1
113_5,113_0
113_3,113_0
113_4,113_0
113_0,113_5
113_3,113_4
113_5,113_4
113_2,113_4
113_5,113_2
113_1,113_3
113_0,113_2
114_12,114_14
114_1,114_3
114_7,114_9
114_4,114_6
114_2,114_12
114_2,114_14
114_4,114_5
114_5,114_4
114_1,114_10
114_10,114_6
114_10,114_11
114_0,114_5
114_8,114_13
114_11,114_13
114_10,114_12
114_0,114_13
114_3,114_6
114_3,114_4
114_8,114_14
114_3,114_14
114_3,114_11
114_2,114_11
114_5,114_6
114_0,114_3
114_3,114_13
114_5,114_11
114_7,114_12
114_10,114_14
114_12,114_13
114_7,114_14
114_7,114_11
114_9,114_13
114_2,114_10
114_1,114_5
114_1,114_4
114_9,114_11
114_6,114_9
114_3,114_12
114_6,114_8
114_4,114_7
114_8,114_4
114_6,114_4
114_4,114_8
114_0,114_11
114_2,114_7
114_0,114_14
114_4,114_11
114_13,114_12
114_4,114_9
114_4,114_12
114_5,114_7
114_2,114_6
114_6,114_10
114_2,114_3
114_7,114_10
114_1,114_11
114_1,114_14
114_1,114_9
114_6,114_12
114_13,114_9
114_2,114_8
114_5,114_14
114_10,114_13
114_13,114_10
114_11,114_9
114_0,114_1
114_2,114_4
114_0,114_2
114_2,114_5
114_0,114_7
114_6,114_7
114_9,114_10
114_11,114_12
114_3,114_9
114_8,114_10
114_3,114_8
114_1,114_13
114_10,114_5
114_12,114_9
114_9,114_14
114_10,114_9
114_10,114_8
114_10,114_7
114_7,114_8
114_13,114_14
114_7,114_13
114_13,114_4
114_7,114_4
114_5,114_12
114_0,114_4
114_2,114_13
114_8,114_9
114_8,114_11
114_0,114_8
114_4,114_10
114_0,114_9
114_3,114_5
114_0,114_12
114_5,114_13
114_8,114_12
114_9,114_4
114_3,114_7
114_1,114_7
114_0,114_6
114_9,114_12
114_1,114_8
114_13,114_11
114_2,114_9
114_6,114_11
114_6,114_14
114_5,114_8
114_3,114_10
114_5,114_9
114_11,114_14
114_6,114_13
114_1,114_12
114_1,114_6
114_1,114_2
114_0,114_10
114_4,114_14
114_10,114_4
114_4,114_13
114_5,114_10
115_0,115_5
115_0,115_1
115_4,115_0
115_3,115_4
115_0,115_2
115_1,115_2
115_1,115_4
115_0,115_4
115_2,115_4
115_2,115_0
115_4,115_5
